,Unnamed: 0,Zestimate,Price,Rent Zestimate,Days On Zillow,Bathrooms,Bedrooms,Living Area,Home Type,Street Address,Zip,statusType,Mortgage,HOA,Zip_code,Violent_crime,Property_Crime,quality,commute_time,free_lunch,total_schools
353,353,764570.0,729999,3249.0,4,3.0,3.0,1314.0,TOWNHOUSE,908 Delta Ct,95122,FOR_SALE,21000.189333333336,403,95112,43,54,Average,25.2,83.5,100.0
354,354,592029.0,575000,2662.0,4,2.0,2.0,955.0,CONDO,1705 Bevin Brook Dr,95112,FOR_SALE,16261.0632,425,95112,43,54,Below Average,22.7,77.2,100.0
355,355,,563000,3210.0,4,1.0,,516.0,CONDO,"Plan A1 Plan, 188 West St James",95110,FOR_SALE,,535,95112,43,54,Below Average,21.8,76.4,100.0
356,356,1307007.0,1250000,4087.0,5,,,1780.0,MULTI_FAMILY,642 N 2nd St,95112,FOR_SALE,35899.1256,391,95112,43,54,Below Average,22.7,77.2,100.0
357,357,1733700.0,1650000,2199.0,5,4.0,4.0,1740.0,SINGLE_FAMILY,70 Hawthorne Way,95110,FOR_SALE,47618.96,471,95112,43,54,Below Average,21.8,76.4,100.0
358,358,922100.0,895000,2900.0,5,,2.0,996.0,LOT,914 Harliss Ave,95110,FOR_SALE,25327.01333333333,478,95112,43,54,Below Average,21.8,76.4,100.0
359,359,834016.0,799800,3149.0,6,2.0,2.0,1421.0,CONDO,144 S 3rd St UNIT 426,95112,FOR_SALE,22907.63946666667,545,95112,43,54,Below Average,22.7,77.2,100.0
360,360,1314312.0,1249000,3995.0,6,2.0,4.0,2016.0,SINGLE_FAMILY,64 S 19th St,95116,FOR_SALE,36099.7696,475,95112,43,54,Below Average,24.4,84.7,100.0
361,361,423600.0,419999,2031.0,6,1.0,1.0,633.0,CONDO,364 Coyote Creek Cir,95116,FOR_SALE,11634.88,537,95128,33,45,Below Average,24.4,84.7,100.0
362,362,1213259.0,1149000,3270.0,6,2.0,4.0,1186.0,SINGLE_FAMILY,1325 Fremont St,95126,FOR_SALE,33324.18053333333,448,95126,32,45,Average,22.4,61.2,100.0
363,363,,924000,3210.0,6,2.0,2.0,1135.0,CONDO,"Plan C1 Plan, 188 West St James",95110,FOR_SALE,,453,95112,43,54,Below Average,21.8,76.4,100.0
364,364,712241.0,675000,2859.0,6,1.0,2.0,816.0,SINGLE_FAMILY,396 N 21st St,95112,FOR_SALE,19562.886133333333,547,95126,32,45,Below Average,22.7,77.2,100.0
365,365,1533100.0,1450000,4198.0,7,3.0,4.0,1600.0,MULTI_FAMILY,638 N San Pedro St,95110,FOR_SALE,42109.14666666666,439,95126,32,45,Below Average,21.8,76.4,100.0
366,366,,650000,3210.0,7,1.0,1.0,742.0,CONDO,"Plan B1 Plan, 188 West St James",95110,FOR_SALE,,363,95112,43,54,Below Average,21.8,76.4,100.0
367,367,,559000,3210.0,8,1.0,,619.0,CONDO,"Plan A3 Plan, 188 West St James",95110,FOR_SALE,,546,95116,47,56,Below Average,21.8,76.4,100.0
368,368,1367327.0,1275000,3298.0,9,1.0,3.0,1184.0,SINGLE_FAMILY,579 W Virginia St,95125,FOR_SALE,37555.91493333333,386,95128,33,45,Average,24.3,40.4,50.0
369,369,,1048000,3210.0,9,2.0,2.0,1182.0,CONDO,"Plan C2 Plan, 188 West St James",95110,FOR_SALE,,491,95113,24,39,Below Average,21.8,76.4,100.0
370,370,883109.0,848888,3095.0,10,2.0,2.0,1622.0,CONDO,130 E San Fernando St APT 314,95112,FOR_SALE,24256.06053333333,504,95112,43,54,Below Average,22.7,77.2,100.0
